,year,province,immigrant_status,labour_force_character,gender,age_group,metrics,total
132727,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,41.0
132729,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,74.0
132730,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,389.0
132731,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,44.0
132737,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,55.0
132738,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,367.0
132739,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,22.0
132741,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,48.0
132742,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,284.0
132743,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,18.0
132749,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,49.0
132750,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,342.0
132751,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,20.0
132753,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,40.0
132754,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,250.0
132755,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,13.0
132761,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,33.0
132762,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,316.0
132763,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,18.0
132765,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,27.0
132766,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,215.0
132767,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,10.0
132773,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,15.0
132774,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,26.0
132775,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,2.0
132777,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,13.0
132778,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,34.0
132779,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,3.0
132785,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,7.0
132786,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,25.0
132787,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
132789,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,8.0
132790,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,35.0
132791,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,5.0
132797,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,24.0
132798,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,28.0
132799,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,19.0
132801,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,26.0
132802,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,104.0
132803,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,26.0
133445,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,86.0
133446,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,416.0
133447,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,38.0
133449,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,82.0
133450,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,392.0
133451,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,48.0
133457,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,65.0
133458,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,381.0
133459,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,20.0
133461,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,54.0
133462,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,291.0
133463,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,17.0
133469,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,56.0
133470,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,357.0
133471,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,18.0
133473,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,47.0
133474,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,259.0
133475,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,13.0
133481,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,36.0
133482,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,331.0
133483,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,17.0
133485,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,32.0
133486,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,220.0
133487,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,11.0
133493,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,19.0
133494,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,26.0
133495,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
133497,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,15.0
133498,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,39.0
133499,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
133505,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,9.0
133506,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,24.0
133507,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
133509,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,7.0
133510,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,32.0
133511,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,4.0
133517,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,21.0
133518,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,35.0
133519,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,18.0
133521,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,28.0
133522,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,102.0
133523,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,31.0
134165,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,87.0
134166,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,426.0
134167,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,37.0
134169,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,86.0
134170,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,394.0
134171,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,49.0
134177,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,66.0
134178,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,392.0
134179,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,18.0
134181,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,55.0
134182,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,296.0
134183,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,14.0
134189,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,57.0
134190,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,369.0
134191,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,16.0
134193,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,50.0
134194,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,265.0
134195,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,12.0
134201,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,35.0
134202,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,344.0
134203,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,15.0
134205,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,31.0
134206,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,220.0
134207,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,10.0
134213,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,22.0
134214,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,25.0
134215,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
134217,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,19.0
134218,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,44.0
134219,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
134225,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,8.0
134226,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,22.0
134227,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,
134229,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,5.0
134230,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,31.0
134231,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,2.0
134237,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,22.0
134238,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,34.0
134239,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,20.0
134241,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,31.0
134242,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,99.0
134243,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,35.0
134885,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,85.0
134886,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,428.0
134887,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,38.0
134889,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,89.0
134890,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,398.0
134891,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,49.0
134897,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,61.0
134898,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,393.0
134899,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,17.0
134901,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,57.0
134902,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,305.0
134903,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,13.0
134909,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,54.0
134910,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,370.0
134911,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,16.0
134913,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,52.0
134914,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,271.0
134915,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,10.0
134921,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,34.0
134922,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,347.0
134923,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,15.0
134925,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,29.0
134926,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,220.0
134927,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,9.0
134933,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,21.0
134934,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,23.0
134935,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
134937,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,23.0
134938,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,52.0
134939,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
134945,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,6.0
134946,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,23.0
134947,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,
134949,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,5.0
134950,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,34.0
134951,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,3.0
134957,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,24.0
134958,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,35.0
134959,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,20.0
134961,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,32.0
134962,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,93.0
134963,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,36.0
135605,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,82.0
135606,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,426.0
135607,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,38.0
135609,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,91.0
135610,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,402.0
135611,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,46.0
135617,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,55.0
135618,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,393.0
135619,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,17.0
135621,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,58.0
135622,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,313.0
135623,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,12.0
135629,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,49.0
135630,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,374.0
135631,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,16.0
135633,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,54.0
135634,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,278.0
135635,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,8.0
135641,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,28.0
135642,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,345.0
135643,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,14.0
135645,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,28.0
135646,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,221.0
135647,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,7.0
135653,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,21.0
135654,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,29.0
135655,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
135657,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,26.0
135658,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,58.0
135659,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
135665,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,6.0
135666,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,19.0
135667,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
135669,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,4.0
135670,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,35.0
135671,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,4.0
135677,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,28.0
135678,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,32.0
135679,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,21.0
135681,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,33.0
135682,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,89.0
135683,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,34.0
136325,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,81.0
136326,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,428.0
136327,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,34.0
136329,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,87.0
136330,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,401.0
136331,2021,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,40.0
136337,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,53.0
136338,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,398.0
136339,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,16.0
136341,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,57.0
136342,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,313.0
136343,2021,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,12.0
136349,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,47.0
136350,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,380.0
136351,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,15.0
136353,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,51.0
136354,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,280.0
136355,2021,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,7.0
136361,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,26.0
136362,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,350.0
136363,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,14.0
136365,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,26.0
136366,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,223.0
136367,2021,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,5.0
136373,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,20.0
136374,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,30.0
136375,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,
136377,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,25.0
136378,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,56.0
136379,2021,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
136385,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,6.0
136386,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,18.0
136387,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,
136389,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,7.0
136390,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,33.0
136391,2021,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,5.0
136397,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,28.0
136398,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,30.0
136399,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,18.0
136401,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,30.0
136402,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,89.0
136403,2021,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,28.0
137045,2022,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,82.0
137046,2022,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,435.0
137047,2022,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,34.0
137049,2022,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,86.0
137050,2022,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,415.0
137051,2022,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,38.0
137057,2022,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,53.0
137058,2022,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,405.0
137059,2022,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,18.0
137061,2022,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,57.0
137062,2022,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,318.0
137063,2022,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,12.0
137069,2022,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,47.0
137070,2022,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,386.0
